	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13
sample1	0.0	0.393939393939	0.371212121212	0.377952755906	0.603448275862	0.5	0.685897435897	0.673913043478	0.398550724638	0.503875968992	0.488721804511	0.630872483221	0.66875
sample2	0.393939393939	0.0	0.128205128205	0.157894736842	0.50303030303	0.402985074627	0.651612903226	0.644927536232	0.269230769231	0.344537815126	0.525179856115	0.555555555556	0.684848484848
sample3	0.371212121212	0.128205128205	0.0	0.115044247788	0.447204968944	0.356060606061	0.623376623377	0.642857142857	0.21875	0.347107438017	0.481751824818	0.554794520548	0.650306748466
sample4	0.377952755906	0.157894736842	0.115044247788	0.0	0.455128205128	0.375	0.590277777778	0.669117647059	0.219512195122	0.294642857143	0.492424242424	0.577464788732	0.672955974843
sample5	0.603448275862	0.50303030303	0.447204968944	0.455128205128	0.0	0.506097560976	0.681318681319	0.768361581921	0.429447852761	0.566037735849	0.64367816092	0.610465116279	0.734693877551
sample6	0.5	0.402985074627	0.356060606061	0.375	0.506097560976	0.0	0.689873417722	0.669064748201	0.360294117647	0.4765625	0.496296296296	0.569444444444	0.647798742138
sample7	0.685897435897	0.651612903226	0.623376623377	0.590277777778	0.681318681319	0.689873417722	0.0	0.853503184713	0.611464968153	0.698630136986	0.705882352941	0.831395348837	0.846153846154
sample8	0.673913043478	0.644927536232	0.642857142857	0.669117647059	0.768361581921	0.669064748201	0.853503184713	0.0	0.657534246575	0.576271186441	0.456140350877	0.721428571429	0.685314685315
sample9	0.398550724638	0.269230769231	0.21875	0.219512195122	0.429447852761	0.360294117647	0.611464968153	0.657534246575	0.0	0.325203252033	0.492957746479	0.543624161074	0.662721893491
sample10	0.503875968992	0.344537815126	0.347107438017	0.294642857143	0.566037735849	0.4765625	0.698630136986	0.576271186441	0.325203252033	0.0	0.590909090909	0.546153846154	0.65306122449
sample11	0.488721804511	0.525179856115	0.481751824818	0.492424242424	0.64367816092	0.496296296296	0.705882352941	0.456140350877	0.492957746479	0.590909090909	0.0	0.677852348993	0.670967741935
sample12	0.630872483221	0.555555555556	0.554794520548	0.577464788732	0.610465116279	0.569444444444	0.831395348837	0.721428571429	0.543624161074	0.546153846154	0.677852348993	0.0	0.578231292517
sample13	0.66875	0.684848484848	0.650306748466	0.672955974843	0.734693877551	0.647798742138	0.846153846154	0.685314685315	0.662721893491	0.65306122449	0.670967741935	0.578231292517	0.0
