	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample11	sample12
sample1	0.0	0.779816513761	0.835164835165	0.781609195402	0.858407079646	0.691358024691	0.922330097087	0.772277227723	0.905511811024	0.836734693878	0.88679245283
sample2	0.779816513761	0.0	0.731481481481	0.669902912621	0.740157480315	0.877049180328	0.864	0.697478991597	0.811188811189	0.821138211382	0.853846153846
sample3	0.835164835165	0.731481481481	0.0	0.76404494382	0.833333333333	0.75	0.872549019608	0.680412371134	0.723214285714	0.688888888889	0.87037037037
sample4	0.781609195402	0.669902912621	0.76404494382	0.0	0.801801801802	0.690476190476	0.85	0.680412371134	0.734513274336	0.843137254902	0.78
sample5	0.858407079646	0.740157480315	0.833333333333	0.801801801802	0.0	0.84347826087	0.685714285714	0.829457364341	0.822695035461	0.915384615385	0.791666666667
sample6	0.691358024691	0.877049180328	0.75	0.690476190476	0.84347826087	0.0	0.826530612245	0.757281553398	0.808333333333	0.770833333333	0.815533980583
sample7	0.922330097087	0.864	0.872549019608	0.85	0.685714285714	0.826530612245	0.0	0.872881355932	0.816	0.891891891892	0.824074074074
sample8	0.772277227723	0.697478991597	0.680412371134	0.680412371134	0.829457364341	0.757281553398	0.872881355932	0.0	0.658333333333	0.740740740741	0.88
sample9	0.905511811024	0.811188811189	0.723214285714	0.734513274336	0.822695035461	0.808333333333	0.816	0.658333333333	0.0	0.709401709402	0.798449612403
sample11	0.836734693878	0.821138211382	0.688888888889	0.843137254902	0.915384615385	0.770833333333	0.891891891892	0.740740740741	0.709401709402	0.0	0.90756302521
sample12	0.88679245283	0.853846153846	0.87037037037	0.78	0.791666666667	0.815533980583	0.824074074074	0.88	0.798449612403	0.90756302521	0.0
