	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample10	sample11	sample12	sample13	sample14
sample1	0.0	12.3100736314	11.4894433929	14.3539097695	15.6775677296	13.2543350239	12.0036867954	13.570170454	13.8988419154	12.0440288531	13.6737384369	14.5364870605
sample2	12.3100736314	0.0	11.7566284419	10.0442157595	12.3157540625	10.3066406355	8.64623657089	10.8559151811	13.9683801843	12.0449368827	10.8284866307	12.4516854045
sample3	11.4894433929	11.7566284419	0.0	11.7124401093	13.2191986612	10.7948806852	12.6212646294	12.6803576734	12.8562951409	10.7681329172	12.8723696685	14.7069256784
sample4	14.3539097695	10.0442157595	11.7124401093	0.0	8.47822742081	11.0265857823	12.355115783	13.6053916415	14.6923254183	12.8361935745	13.9137474348	11.9542883543
sample5	15.6775677296	12.3157540625	13.2191986612	8.47822742081	0.0	10.8071244557	13.4002293577	15.4340581369	15.6266671621	14.0637461535	14.8321046836	14.2338013564
sample6	13.2543350239	10.3066406355	10.7948806852	11.0265857823	10.8071244557	0.0	8.24575834201	9.00339886162	10.4269681878	11.2936013332	9.41507981601	15.5556653972
sample7	12.0036867954	8.64623657089	12.6212646294	12.355115783	13.4002293577	8.24575834201	0.0	10.1529663249	13.0973999837	12.6999929828	9.20822168164	15.3460727623
sample10	13.570170454	10.8559151811	12.6803576734	13.6053916415	15.4340581369	9.00339886162	10.1529663249	0.0	9.10807267327	10.2022806674	7.75450300901	15.8193194241
sample11	13.8988419154	13.9683801843	12.8562951409	14.6923254183	15.6266671621	10.4269681878	13.0973999837	9.10807267327	0.0	11.6722743404	9.53373452889	17.9320809573
sample12	12.0440288531	12.0449368827	10.7681329172	12.8361935745	14.0637461535	11.2936013332	12.6999929828	10.2022806674	11.6722743404	0.0	11.2671014188	12.9168458327
sample13	13.6737384369	10.8284866307	12.8723696685	13.9137474348	14.8321046836	9.41507981601	9.20822168164	7.75450300901	9.53373452889	11.2671014188	0.0	16.3335107792
sample14	14.5364870605	12.4516854045	14.7069256784	11.9542883543	14.2338013564	15.5556653972	15.3460727623	15.8193194241	17.9320809573	12.9168458327	16.3335107792	0.0
