	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14
sample1	0.0	3.94411698028	3.50227782499	3.8234205757	5.68304239401	5.88946876794	7.09411047771	5.54318694988	4.3220723701	4.77426433915	4.92463411607	6.02134663342	7.18867065912	7.59458872607
sample2	3.94411698028	0.0	1.16658202133	1.13259732045	4.48582887701	4.20450640425	6.20076414054	5.89923167849	2.1619047619	2.37059808612	5.71251542575	5.14878787879	7.02563039151	6.85192292316
sample3	3.50227782499	1.16658202133	0.0	1.23183474147	4.10358746851	4.08239743516	5.97147642884	5.58017354095	2.10463269107	2.62681956287	5.09344691895	4.93378703233	6.91516263644	6.71172299937
sample4	3.8234205757	1.13259732045	1.23183474147	0.0	4.18908918406	3.64476352563	6.04969103424	5.66873466385	2.29991093211	2.83464296415	5.32345642972	4.57718130067	7.02036316292	6.69861765457
sample5	5.68304239401	4.48582887701	4.10358746851	4.18908918406	0.0	5.05821710127	7.09962789275	6.79463913225	4.15540216086	4.99349845201	6.41945701357	5.10978609626	6.97784456848	6.24405556418
sample6	5.88946876794	4.20450640425	4.08239743516	3.64476352563	5.05821710127	0.0	7.27029248334	6.22502498111	3.50546321621	3.99412551999	5.86837399512	4.78776632302	6.26084230065	6.9207536563
sample7	7.09411047771	6.20076414054	5.97147642884	6.04969103424	7.09962789275	7.27029248334	0.0	8.74716783231	6.62765182329	7.2271020706	8.08991742278	8.81032928943	8.94805500386	7.98106391443
sample8	5.54318694988	5.89923167849	5.58017354095	5.66873466385	6.79463913225	6.22502498111	8.74716783231	0.0	5.64411636995	4.52602712455	4.06963832996	6.45380614657	7.21230004659	7.03772525683
sample9	4.3220723701	2.1619047619	2.10463269107	2.29991093211	4.15540216086	3.50546321621	6.62765182329	5.64411636995	0.0	1.69533834586	5.08733955121	4.60512059369	6.70356025622	6.28225728286
sample10	4.77426433915	2.37059808612	2.62681956287	2.83464296415	4.99349845201	3.99412551999	7.2271020706	4.52602712455	1.69533834586	0.0	5.40533460348	4.70698564593	6.43817134076	6.62973475906
sample11	4.92463411607	5.71251542575	5.09344691895	5.32345642972	6.41945701357	5.86837399512	8.08991742278	4.06963832996	5.08733955121	5.40533460348	0.0	6.71231591937	7.70716385375	6.80630141239
sample12	6.02134663342	5.14878787879	4.93378703233	4.57718130067	5.10978609626	4.78776632302	8.81032928943	6.45380614657	4.60512059369	4.70698564593	6.71231591937	0.0	5.84703384207	6.77913168626
sample13	7.18867065912	7.02563039151	6.91516263644	7.02036316292	6.97784456848	6.26084230065	8.94805500386	7.21230004659	6.70356025622	6.43817134076	7.70716385375	5.84703384207	0.0	8.00273481887
sample14	7.59458872607	6.85192292316	6.71172299937	6.69861765457	6.24405556418	6.9207536563	7.98106391443	7.03772525683	6.28225728286	6.62973475906	6.80630141239	6.77913168626	8.00273481887	0.0
