	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17
sample1	0.0	11.5035784533	11.6711353225	12.4935614954	13.2074251546	12.7113431078	12.0595689642	10.8447427289	9.82191108988	12.8380000542	16.5013007882	12.7224333197	12.4911955712	13.9712086278	11.9170344596	12.1228716437	9.23074014054
sample2	11.5035784533	0.0	10.0040989675	10.120468464	11.5974849149	9.57789413611	10.9092657753	12.7777442031	13.8165579258	12.4150333477	14.6506109314	12.6249681015	11.2154269187	12.9675339666	11.582566747	12.5183072381	9.98110132013
sample3	11.6711353225	10.0040989675	0.0	10.9046780906	12.5490107037	11.6262254922	10.425252515	13.5583688596	13.0983784322	13.1267749713	12.0820089189	13.8972180903	13.0446195191	14.7767829401	10.6346002042	12.7735830707	10.903203243
sample4	12.4935614954	10.120468464	10.9046780906	0.0	9.28549926078	9.84239519942	9.3115917474	13.4712872178	13.2533268125	11.1560041668	14.2432442548	11.8104446361	11.0209140839	14.1662352763	11.5030396729	12.7304822193	10.6531559024
sample5	13.2074251546	11.5974849149	12.5490107037	9.28549926078	0.0	9.60631792363	8.976051389	10.1887972943	11.8109855749	10.0282502849	14.3963236468	10.8952626489	10.3459490689	12.7936293771	10.1748948962	10.504538895	10.1459053426
sample6	12.7113431078	9.57789413611	11.6262254922	9.84239519942	9.60631792363	0.0	9.40996827924	12.1998025914	13.1759719492	11.4014895005	14.1006741743	12.9344996469	11.8766235417	13.4854133308	11.00408453	11.7164114544	10.6550654034
sample7	12.0595689642	10.9092657753	10.425252515	9.3115917474	8.976051389	9.40996827924	0.0	11.4310272761	10.7780098887	9.0928326152	11.683509535	12.6998126281	12.486759145	15.4245514873	11.3358196854	12.3087992211	11.1284982995
sample8	10.8447427289	12.7777442031	13.5583688596	13.4712872178	10.1887972943	12.1998025914	11.4310272761	0.0	7.63536122512	10.2493969219	14.6619376381	9.22445552931	10.2903137572	11.727608216	10.7208606063	9.53962110667	9.3117815037
sample9	9.82191108988	13.8165579258	13.0983784322	13.2533268125	11.8109855749	13.1759719492	10.7780098887	7.63536122512	0.0	10.348687743	13.6994819936	10.4959294983	12.0797911714	13.9878025241	11.2510976624	11.4710749895	10.0526638355
sample10	12.8380000542	12.4150333477	13.1267749713	11.1560041668	10.0282502849	11.4014895005	9.0928326152	10.2493969219	10.348687743	0.0	11.7880528047	10.0220415808	11.3768299092	14.1055136615	11.5966234922	11.7586678165	11.2669683511
sample11	16.5013007882	14.6506109314	12.0820089189	14.2432442548	14.3963236468	14.1006741743	11.683509535	14.6619376381	13.6994819936	11.7880528047	0.0	14.2002412581	15.8395335429	17.6701809932	12.6834330861	14.8926430796	14.3286418751
sample12	12.7224333197	12.6249681015	13.8972180903	11.8104446361	10.8952626489	12.9344996469	12.6998126281	9.22445552931	10.4959294983	10.0220415808	14.2002412581	0.0	6.94393826483	10.0484415256	9.73173328287	9.57034960442	9.7174148257
sample13	12.4911955712	11.2154269187	13.0446195191	11.0209140839	10.3459490689	11.8766235417	12.486759145	10.2903137572	12.0797911714	11.3768299092	15.8395335429	6.94393826483	0.0	9.21729269509	9.08261230356	9.81542266231	9.15679024916
sample14	13.9712086278	12.9675339666	14.7767829401	14.1662352763	12.7936293771	13.4854133308	15.4245514873	11.727608216	13.9878025241	14.1055136615	17.6701809932	10.0484415256	9.21729269509	0.0	9.78499098478	9.58164802151	10.3219071891
sample15	11.9170344596	11.582566747	10.6346002042	11.5030396729	10.1748948962	11.00408453	11.3358196854	10.7208606063	11.2510976624	11.5966234922	12.6834330861	9.73173328287	9.08261230356	9.78499098478	0.0	8.46039375751	8.63604674919
sample16	12.1228716437	12.5183072381	12.7735830707	12.7304822193	10.504538895	11.7164114544	12.3087992211	9.53962110667	11.4710749895	11.7586678165	14.8926430796	9.57034960442	9.81542266231	9.58164802151	8.46039375751	0.0	9.11697747802
sample17	9.23074014054	9.98110132013	10.903203243	10.6531559024	10.1459053426	10.6550654034	11.1284982995	9.3117815037	10.0526638355	11.2669683511	14.3286418751	9.7174148257	9.15679024916	10.3219071891	8.63604674919	9.11697747802	0.0
