	sample1	sample2	sample3	sample4	sample5	sample7	sample10	sample11	sample12	sample14	sample15
sample1	0.0	10.9976878415	10.1155621031	8.77844938508	13.585827579	9.45021629245	10.9322932466	11.8370994135	11.0469219252	13.8347856214	9.96448898305
sample2	10.9976878415	0.0	7.97229768267	8.15322957615	11.8734152073	11.8843655661	9.69101539933	11.9763824893	9.39578672685	15.8437477586	9.89956984896
sample3	10.1155621031	7.97229768267	0.0	8.51174344218	10.5920782196	9.49484492177	9.15973885241	10.5914966386	8.49237512173	14.9191373841	8.34509415226
sample4	8.77844938508	8.15322957615	8.51174344218	0.0	13.3880261098	10.6090555976	9.59997522252	9.8789025432	9.70151389199	13.3527949722	9.04164409439
sample5	13.585827579	11.8734152073	10.5920782196	13.3880261098	0.0	11.5369795576	10.3978113232	14.7320826958	10.3026920594	17.9618530216	11.768334044
sample7	9.45021629245	11.8843655661	9.49484492177	10.6090555976	11.5369795576	0.0	11.5051715752	12.8255284769	10.1845395636	14.5393571597	10.0939580635
sample10	10.9322932466	9.69101539933	9.15973885241	9.59997522252	10.3978113232	11.5051715752	0.0	9.64500437089	7.60167952295	12.3274267789	8.91956387554
sample11	11.8370994135	11.9763824893	10.5914966386	9.8789025432	14.7320826958	12.8255284769	9.64500437089	0.0	9.80735283944	10.9943667722	10.562100176
sample12	11.0469219252	9.39578672685	8.49237512173	9.70151389199	10.3026920594	10.1845395636	7.60167952295	9.80735283944	0.0	12.7691840596	9.73921022052
sample14	13.8347856214	15.8437477586	14.9191373841	13.3527949722	17.9618530216	14.5393571597	12.3274267789	10.9943667722	12.7691840596	0.0	12.5319613498
sample15	9.96448898305	9.89956984896	8.34509415226	9.04164409439	11.768334044	10.0939580635	8.91956387554	10.562100176	9.73921022052	12.5319613498	0.0
