	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample13	sample14
sample1	0.0	9.36001868559	8.68521197826	8.30106414251	10.7123424332	6.92596307979	10.9896296584	9.71989419038	10.6747813035	10.8327168024	8.67203493247	11.2913828994	10.1521266645
sample2	9.36001868559	0.0	6.73943458403	8.65954710651	9.54444828779	9.90010654864	9.99378212824	7.51978588949	8.2266458496	8.62648442576	8.71991736733	11.0022607846	7.73763736264
sample3	8.68521197826	6.73943458403	0.0	9.32318677481	10.1661167852	7.71735554114	10.404753054	7.99325748846	8.09735960825	8.05109581851	8.19668933321	10.5154195858	7.57440800465
sample4	8.30106414251	8.65954710651	9.32318677481	0.0	10.0310259047	6.63456015844	9.33078782619	9.14405703302	9.47982134391	10.2676860507	9.61715905779	11.3870232138	9.7854056902
sample5	10.7123424332	9.54444828779	10.1661167852	10.0310259047	0.0	10.4544473293	7.37010945186	9.92163651142	8.49458623868	8.38623337615	10.3298129926	9.87610734947	8.73204196933
sample6	6.92596307979	9.90010654864	7.71735554114	6.63456015844	10.4544473293	0.0	9.98504061495	8.93531639881	9.4238900959	10.7762474524	8.28191372841	10.4035928144	9.52394964473
sample7	10.9896296584	9.99378212824	10.404753054	9.33078782619	7.37010945186	9.98504061495	0.0	10.4779019956	9.10487187729	10.2691240256	10.0558390296	11.3568022326	9.21342383107
sample8	9.71989419038	7.51978588949	7.99325748846	9.14405703302	9.92163651142	8.93531639881	10.4779019956	0.0	6.1086166678	7.41878028889	8.65469249771	10.0159485647	8.40513275948
sample9	10.6747813035	8.2266458496	8.09735960825	9.47982134391	8.49458623868	9.4238900959	9.10487187729	6.1086166678	0.0	5.71118950451	8.22356808405	9.77021912459	6.16428471347
sample10	10.8327168024	8.62648442576	8.05109581851	10.2676860507	8.38623337615	10.7762474524	10.2691240256	7.41878028889	5.71118950451	0.0	10.0466175354	8.93426955066	8.62176905373
sample11	8.67203493247	8.71991736733	8.19668933321	9.61715905779	10.3298129926	8.28191372841	10.0558390296	8.65469249771	8.22356808405	10.0466175354	0.0	9.65801086415	5.75610648217
sample13	11.2913828994	11.0022607846	10.5154195858	11.3870232138	9.87610734947	10.4035928144	11.3568022326	10.0159485647	9.77021912459	8.93426955066	9.65801086415	0.0	8.80181943805
sample14	10.1521266645	7.73763736264	7.57440800465	9.7854056902	8.73204196933	9.52394964473	9.21342383107	8.40513275948	6.16428471347	8.62176905373	5.75610648217	8.80181943805	0.0
