	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample13	sample14
sample1	0.0	0.779816513761	0.835164835165	0.781609195402	0.858407079646	0.691358024691	0.922330097087	0.772277227723	0.905511811024	0.927419354839	0.836734693878	0.953488372093	0.836538461538
sample2	0.779816513761	0.0	0.731481481481	0.669902912621	0.740157480315	0.877049180328	0.864	0.697478991597	0.811188811189	0.748091603053	0.821138211382	0.900662251656	0.8125
sample3	0.835164835165	0.731481481481	0.0	0.76404494382	0.833333333333	0.75	0.872549019608	0.680412371134	0.723214285714	0.707547169811	0.688888888889	0.879032258065	0.711340206186
sample4	0.781609195402	0.669902912621	0.76404494382	0.0	0.801801801802	0.690476190476	0.85	0.680412371134	0.734513274336	0.808695652174	0.843137254902	0.922480620155	0.809523809524
sample5	0.858407079646	0.740157480315	0.833333333333	0.801801801802	0.0	0.84347826087	0.685714285714	0.829457364341	0.822695035461	0.805970149254	0.915384615385	0.817518248175	0.735042735043
sample6	0.691358024691	0.877049180328	0.75	0.690476190476	0.84347826087	0.0	0.826530612245	0.757281553398	0.808333333333	0.9296875	0.770833333333	0.860655737705	0.697916666667
sample7	0.922330097087	0.864	0.872549019608	0.85	0.685714285714	0.826530612245	0.0	0.872881355932	0.816	0.873015873016	0.891891891892	0.838709677419	0.712871287129
sample8	0.772277227723	0.697478991597	0.680412371134	0.680412371134	0.829457364341	0.757281553398	0.872881355932	0.0	0.658333333333	0.739837398374	0.740740740741	0.85401459854	0.675925925926
sample9	0.905511811024	0.811188811189	0.723214285714	0.734513274336	0.822695035461	0.808333333333	0.816	0.658333333333	0.0	0.650793650794	0.709401709402	0.735294117647	0.661016949153
sample10	0.927419354839	0.748091603053	0.707547169811	0.808695652174	0.805970149254	0.9296875	0.873015873016	0.739837398374	0.650793650794	0.0	0.8671875	0.761194029851	0.784
sample11	0.836734693878	0.821138211382	0.688888888889	0.843137254902	0.915384615385	0.770833333333	0.891891891892	0.740740740741	0.709401709402	0.8671875	0.0	0.833333333333	0.721153846154
sample13	0.953488372093	0.900662251656	0.879032258065	0.922480620155	0.817518248175	0.860655737705	0.838709677419	0.85401459854	0.735294117647	0.761194029851	0.833333333333	0.0	0.768
sample14	0.836538461538	0.8125	0.711340206186	0.809523809524	0.735042735043	0.697916666667	0.712871287129	0.675925925926	0.661016949153	0.784	0.721153846154	0.768	0.0
