	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13
sample1	0.0	9.42526684511	8.45263765379	10.0995135071	8.43997880897	9.87654645959	7.51154018859	7.84205300068	9.27242642192	8.50263099385	9.55273449754	10.2146628499	8.66098388465
sample2	9.42526684511	0.0	9.95206855001	9.17013211314	9.49821787046	10.2048066876	10.1438757321	8.38211382114	8.26191727348	9.46984407179	8.20572851806	10.0005411255	10.4277056277
sample3	8.45263765379	9.95206855001	0.0	10.0738564535	8.68075926588	8.46156450493	5.81605013139	8.65183136367	8.64136026856	7.81109665365	8.96067410441	8.7089347079	9.21340206186
sample4	10.0995135071	9.17013211314	10.0738564535	0.0	10.7298344257	8.94264784706	10.1595245352	10.1961329458	9.90239300368	9.80143199691	9.41517495919	10.7750215889	9.27432354634
sample5	8.43997880897	9.49821787046	8.68075926588	10.7298344257	0.0	8.35150968905	8.76557802932	7.87545843913	8.21029886399	8.68786050453	9.49939933451	8.9505126183	9.51770066597
sample6	9.87654645959	10.2048066876	8.46156450493	8.94264784706	8.35150968905	0.0	7.88716314112	9.8118466899	9.02289359036	8.52691823298	9.90755111681	8.2703407225	10.7681992337
sample7	7.51154018859	10.1438757321	5.81605013139	10.1595245352	8.76557802932	7.88716314112	0.0	6.63075083692	6.94903094186	5.50866171711	7.73698630137	7.85392156863	9.5137254902
sample8	7.84205300068	8.38211382114	8.65183136367	10.1961329458	7.87545843913	9.8118466899	6.63075083692	0.0	6.17214154801	5.90828005367	7.24998329435	8.76392276423	10.0216802168
sample9	9.27242642192	8.26191727348	8.64136026856	9.90239300368	8.21029886399	9.02289359036	6.94903094186	6.17214154801	0.0	6.08032624352	6.08133660622	7.5875	9.76724470135
sample10	8.50263099385	9.46984407179	7.81109665365	9.80143199691	8.68786050453	8.52691823298	5.50866171711	5.90828005367	6.08032624352	0.0	4.81017865851	7.46646440129	9.85145631068
sample11	9.55273449754	8.20572851806	8.96067410441	9.41517495919	9.49939933451	9.90755111681	7.73698630137	7.24998329435	6.08133660622	4.81017865851	0.0	8.10228310502	9.89178082192
sample12	10.2146628499	10.0005411255	8.7089347079	10.7750215889	8.9505126183	8.2703407225	7.85392156863	8.76392276423	7.5875	7.46646440129	8.10228310502	0.0	10.6236111111
sample13	8.66098388465	10.4277056277	9.21340206186	9.27432354634	9.51770066597	10.7681992337	9.5137254902	10.0216802168	9.76724470135	9.85145631068	9.89178082192	10.6236111111	0.0
