	MCT.f.0392	MCT.f.0393	MCT.f.0394	MCT.f.0395	MCT.f.0396	MCT.f.0397	MCT.f.0398	MCT.f.0399	MCT.f.0400	MCT.f.0402	MCT.f.0403	MCT.f.0404	MCT.f.0405	MCT.f.0406	MCT.f.0407	MCT.f.0408
MCT.f.0392	0.0	8.70536695552	9.03394827107	7.6761285353	8.95332859512	10.8127656012	10.6405848963	10.0748378409	5.75103073611	7.29167394876	7.86155502544	11.4527785401	11.0696517413	10.471085433	8.30032985257	8.59095029557
MCT.f.0393	8.70536695552	0.0	2.84851113636	7.820866342	6.70235821961	9.72190923404	8.73299242834	8.69663707963	9.12222565904	8.65898913594	9.06725304359	11.3918299193	9.68644195604	8.51672498489	8.12983603007	9.86928755316
MCT.f.0394	9.03394827107	2.84851113636	0.0	8.36048902923	7.31116794544	9.82729189678	8.99058942379	8.4558962624	8.76732542819	8.91288904728	8.34541541111	10.9306930693	10.0420979986	8.6278323204	8.27380156076	9.10913824525
MCT.f.0395	7.6761285353	7.820866342	8.36048902923	0.0	8.84576623946	10.7829658396	10.055047154	9.43942761933	8.41972190576	8.42526024972	8.28718402567	11.7537105666	10.8779373947	10.3810095913	8.01053653568	9.48156201563
MCT.f.0396	8.95332859512	6.70235821961	7.31116794544	8.84576623946	0.0	10.646168244	9.25036359495	8.53060887513	9.78848902378	10.0346351655	8.91697405035	10.8296770854	10.3954248366	9.67847353995	8.28439751969	8.1295448319
MCT.f.0397	10.8127656012	9.72190923404	9.82729189678	10.7829658396	10.646168244	0.0	9.94709892328	11.204657834	11.2732493148	10.169897399	11.0027210573	10.8326740295	8.18886322812	9.67626048159	10.9547909964	11.1704305016
MCT.f.0398	10.6405848963	8.73299242834	8.99058942379	10.055047154	9.25036359495	9.94709892328	0.0	9.09701707351	8.90642970536	9.09104293939	10.2717773118	10.7374158327	7.54749138261	5.4389960314	8.68570075541	8.93111364403
MCT.f.0399	10.0748378409	8.69663707963	8.4558962624	9.43942761933	8.53060887513	11.204657834	9.09701707351	0.0	9.41156084314	9.86792924935	9.75930519368	10.8541393087	9.95729323308	9.14823618185	8.86029089819	8.68056728648
MCT.f.0400	5.75103073611	9.12222565904	8.76732542819	8.41972190576	9.78848902378	11.2732493148	8.90642970536	9.41156084314	0.0	5.14645345793	6.6949343583	10.9122533875	10.3048438048	9.25146847727	7.41729141729	7.92058144154
MCT.f.0402	7.29167394876	8.65898913594	8.91288904728	8.42526024972	10.0346351655	10.169897399	9.09104293939	9.86792924935	5.14645345793	0.0	6.80191256831	10.9861494346	8.89578454333	8.35732122921	7.1829199944	7.96399823304
MCT.f.0403	7.86155502544	9.06725304359	8.34541541111	8.28718402567	8.91697405035	11.0027210573	10.2717773118	9.75930519368	6.6949343583	6.80191256831	0.0	10.5148514851	10.5942165645	10.1443628234	7.27341964966	6.29797830082
MCT.f.0404	11.4527785401	11.3918299193	10.9306930693	11.7537105666	10.8296770854	10.8326740295	10.7374158327	10.8541393087	10.9122533875	10.9861494346	10.5148514851	0.0	9.26473361622	10.3787217431	10.7882993428	10.4333511195
MCT.f.0405	11.0696517413	9.68644195604	10.0420979986	10.8779373947	10.3954248366	8.18886322812	7.54749138261	9.95729323308	10.3048438048	8.89578454333	10.5942165645	9.26473361622	0.0	6.2191500256	9.77757427757	9.78438361372
MCT.f.0406	10.471085433	8.51672498489	8.6278323204	10.3810095913	9.67847353995	9.67626048159	5.4389960314	9.14823618185	9.25146847727	8.35732122921	10.1443628234	10.3787217431	6.2191500256	0.0	8.60398860399	8.98188569098
MCT.f.0407	8.30032985257	8.12983603007	8.27380156076	8.01053653568	8.28439751969	10.9547909964	8.68570075541	8.86029089819	7.41729141729	7.1829199944	7.27341964966	10.7882993428	9.77757427757	8.60398860399	0.0	5.81358650221
MCT.f.0408	8.59095029557	9.86928755316	9.10913824525	9.48156201563	8.1295448319	11.1704305016	8.93111364403	8.68056728648	7.92058144154	7.96399823304	6.29797830082	10.4333511195	9.78438361372	8.98188569098	5.81358650221	0.0
