	MCT.f.0566	MCT.f.0567	MCT.f.0568	MCT.f.0570	MCT.f.0573	MCT.f.0574	MCT.f.0575	MCT.f.0577	MCT.f.0578
MCT.f.0566	0.0	8.51174344218	10.5920782196	9.49484492177	9.15973885241	10.5914966386	8.49237512173	14.9191373841	8.34509415226
MCT.f.0567	8.51174344218	0.0	13.3880261098	10.6090555976	9.59997522252	9.8789025432	9.70151389199	13.3527949722	9.04164409439
MCT.f.0568	10.5920782196	13.3880261098	0.0	11.5369795576	10.3978113232	14.7320826958	10.3026920594	17.9618530216	11.768334044
MCT.f.0570	9.49484492177	10.6090555976	11.5369795576	0.0	11.5051715752	12.8255284769	10.1845395636	14.5393571597	10.0939580635
MCT.f.0573	9.15973885241	9.59997522252	10.3978113232	11.5051715752	0.0	9.64500437089	7.60167952295	12.3274267789	8.91956387554
MCT.f.0574	10.5914966386	9.8789025432	14.7320826958	12.8255284769	9.64500437089	0.0	9.80735283944	10.9943667722	10.562100176
MCT.f.0575	8.49237512173	9.70151389199	10.3026920594	10.1845395636	7.60167952295	9.80735283944	0.0	12.7691840596	9.73921022052
MCT.f.0577	14.9191373841	13.3527949722	17.9618530216	14.5393571597	12.3274267789	10.9943667722	12.7691840596	0.0	12.5319613498
MCT.f.0578	8.34509415226	9.04164409439	11.768334044	10.0939580635	8.91956387554	10.562100176	9.73921022052	12.5319613498	0.0
