	MCT.f.0292	MCT.f.0293	MCT.f.0294	MCT.f.0295	MCT.f.0296	MCT.f.0297	MCT.f.0298	MCT.f.0299	MCT.f.0300	MCT.f.0301	MCT.f.0302	MCT.f.0303	MCT.f.0304	MCT.f.0305	MCT.f.0306
MCT.f.0292	0.0	12.1788113418	16.0655788348	10.2230743365	18.999331004	13.2417220779	13.1417740032	15.0479934376	19.3105476736	20.4561658039	12.0340603614	18.6542757134	16.7018464203	13.6111140398	17.6265404194
MCT.f.0293	12.1788113418	0.0	12.7721007288	10.8761424339	17.0024458871	12.2837255627	12.9581761344	14.0788440617	18.5608318407	18.4979521708	13.0649115852	17.3542370264	15.0450679493	14.3186959322	15.2121830786
MCT.f.0294	16.0655788348	12.7721007288	0.0	13.9354049119	14.6992466347	15.1150346101	12.3201095995	10.366102845	20.2577515484	16.4097018243	15.3200833813	18.9591804189	16.3926814023	15.5674437192	12.6544731145
MCT.f.0295	10.2230743365	10.8761424339	13.9354049119	0.0	16.4520237494	11.9117059572	11.2319342887	13.79729778	17.8160415437	19.5901809846	11.1816850427	17.9423821482	17.7756222463	13.999026847	16.7420313589
MCT.f.0296	18.999331004	17.0024458871	14.6992466347	16.4520237494	0.0	18.5695729158	16.4227728063	15.4123507804	21.4766587971	20.378589678	18.9085077015	21.4956069122	19.6357923232	18.7211644128	17.5878292602
MCT.f.0297	13.2417220779	12.2837255627	15.1150346101	11.9117059572	18.5695729158	0.0	12.7061399593	14.2764535725	13.7924292333	14.3932604185	13.1737628045	14.2943895292	12.9807753594	13.8882537757	15.2226975201
MCT.f.0298	13.1417740032	12.9581761344	12.3201095995	11.2319342887	16.4227728063	12.7061399593	0.0	11.8638389784	16.9033157642	15.2540024805	11.5179118522	15.3636053504	14.9506471294	13.122947453	12.0602986879
MCT.f.0299	15.0479934376	14.0788440617	10.366102845	13.79729778	15.4123507804	14.2764535725	11.8638389784	0.0	19.7106672239	16.4646960829	14.1245462876	18.766973022	16.9369896558	14.5786406771	13.415362222
MCT.f.0300	19.3105476736	18.5608318407	20.2577515484	17.8160415437	21.4766587971	13.7924292333	16.9033157642	19.7106672239	0.0	12.502858707	16.3264937318	10.7048009856	14.024850525	16.6538377657	18.8726273608
MCT.f.0301	20.4561658039	18.4979521708	16.4097018243	19.5901809846	20.378589678	14.3932604185	15.2540024805	16.4646960829	12.502858707	0.0	17.179563274	11.4937834532	12.293071029	15.9940391702	14.982114127
MCT.f.0302	12.0340603614	13.0649115852	15.3200833813	11.1816850427	18.9085077015	13.1737628045	11.5179118522	14.1245462876	16.3264937318	17.179563274	0.0	15.4701870244	15.1591867419	9.07569731739	14.2074709408
MCT.f.0303	18.6542757134	17.3542370264	18.9591804189	17.9423821482	21.4956069122	14.2943895292	15.3636053504	18.766973022	10.7048009856	11.4937834532	15.4701870244	0.0	11.5815738937	14.0649202608	15.9061290778
MCT.f.0304	16.7018464203	15.0450679493	16.3926814023	17.7756222463	19.6357923232	12.9807753594	14.9506471294	16.9369896558	14.024850525	12.293071029	15.1591867419	11.5815738937	0.0	12.3350334518	11.1424945427
MCT.f.0305	13.6111140398	14.3186959322	15.5674437192	13.999026847	18.7211644128	13.8882537757	13.122947453	14.5786406771	16.6538377657	15.9940391702	9.07569731739	14.0649202608	12.3350334518	0.0	11.8182257689
MCT.f.0306	17.6265404194	15.2121830786	12.6544731145	16.7420313589	17.5878292602	15.2226975201	12.0602986879	13.415362222	18.8726273608	14.982114127	14.2074709408	15.9061290778	11.1424945427	11.8182257689	0.0
