	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample9	sample10	sample11	sample12	sample13	sample14	sample15
sample1	0.0	8.70536695552	9.03394827107	7.6761285353	8.95332859512	10.8127656012	10.6405848963	5.75103073611	10.3906453511	7.29167394876	7.86155502544	11.4527785401	11.0696517413	10.471085433
sample2	8.70536695552	0.0	2.84851113636	7.820866342	6.70235821961	9.72190923404	8.73299242834	9.12222565904	8.27254651175	8.65898913594	9.06725304359	11.3918299193	9.68644195604	8.51672498489
sample3	9.03394827107	2.84851113636	0.0	8.36048902923	7.31116794544	9.82729189678	8.99058942379	8.76732542819	8.60245261984	8.91288904728	8.34541541111	10.9306930693	10.0420979986	8.6278323204
sample4	7.6761285353	7.820866342	8.36048902923	0.0	8.84576623946	10.7829658396	10.055047154	8.41972190576	10.7193811775	8.42526024972	8.28718402567	11.7537105666	10.8779373947	10.3810095913
sample5	8.95332859512	6.70235821961	7.31116794544	8.84576623946	0.0	10.646168244	9.25036359495	9.78848902378	8.56661639015	10.0346351655	8.91697405035	10.8296770854	10.3954248366	9.67847353995
sample6	10.8127656012	9.72190923404	9.82729189678	10.7829658396	10.646168244	0.0	9.94709892328	11.2732493148	10.9004629388	10.169897399	11.0027210573	10.8326740295	8.18886322812	9.67626048159
sample7	10.6405848963	8.73299242834	8.99058942379	10.055047154	9.25036359495	9.94709892328	0.0	8.90642970536	7.43782223139	9.09104293939	10.2717773118	10.7374158327	7.54749138261	5.4389960314
sample9	5.75103073611	9.12222565904	8.76732542819	8.41972190576	9.78848902378	11.2732493148	8.90642970536	0.0	9.92362168833	5.14645345793	6.6949343583	10.9122533875	10.3048438048	9.25146847727
sample10	10.3906453511	8.27254651175	8.60245261984	10.7193811775	8.56661639015	10.9004629388	7.43782223139	9.92362168833	0.0	9.14937690082	9.78624016248	10.1531293401	8.89495798319	8.6952431924
sample11	7.29167394876	8.65898913594	8.91288904728	8.42526024972	10.0346351655	10.169897399	9.09104293939	5.14645345793	9.14937690082	0.0	6.80191256831	10.9861494346	8.89578454333	8.35732122921
sample12	7.86155502544	9.06725304359	8.34541541111	8.28718402567	8.91697405035	11.0027210573	10.2717773118	6.6949343583	9.78624016248	6.80191256831	0.0	10.5148514851	10.5942165645	10.1443628234
sample13	11.4527785401	11.3918299193	10.9306930693	11.7537105666	10.8296770854	10.8326740295	10.7374158327	10.9122533875	10.1531293401	10.9861494346	10.5148514851	0.0	9.26473361622	10.3787217431
sample14	11.0696517413	9.68644195604	10.0420979986	10.8779373947	10.3954248366	8.18886322812	7.54749138261	10.3048438048	8.89495798319	8.89578454333	10.5942165645	9.26473361622	0.0	6.2191500256
sample15	10.471085433	8.51672498489	8.6278323204	10.3810095913	9.67847353995	9.67626048159	5.4389960314	9.25146847727	8.6952431924	8.35732122921	10.1443628234	10.3787217431	6.2191500256	0.0
