	MCT.f.0137	MCT.f.0138	MCT.f.0139	MCT.f.0141	MCT.f.0142	MCT.f.0143	MCT.f.0144	MCT.f.0145	MCT.f.0146	MCT.f.0147	MCT.f.0148	MCT.f.0149	MCT.f.0150	MCT.f.0151	MCT.f.0152	MCT.f.0153
MCT.f.0137	0.0	0.897260273973	0.699300699301	0.734513274336	0.682170542636	0.724637681159	0.655737704918	0.827067669173	0.783216783217	0.814814814815	0.744680851064	0.820512820513	0.89552238806	0.723404255319	0.861538461538	0.729323308271
MCT.f.0138	0.897260273973	0.0	0.756578947368	0.832	0.846666666667	0.756944444444	0.705426356589	0.786259541985	0.744680851064	0.75572519084	0.767123287671	0.889763779528	0.772357723577	0.834394904459	0.741666666667	0.706766917293
MCT.f.0139	0.699300699301	0.756578947368	0.0	0.733333333333	0.754716981132	0.708860759494	0.675862068966	0.704225352113	0.679738562092	0.738255033557	0.685897435897	0.822695035461	0.886075949367	0.565517241379	0.786206896552	0.677852348993
MCT.f.0141	0.734513274336	0.832	0.733333333333	0.0	0.779527559055	0.833333333333	0.62037037037	0.81512605042	0.7578125	0.84	0.817518248175	0.817307692308	0.918699186992	0.700787401575	0.823008849558	0.777777777778
MCT.f.0142	0.682170542636	0.846666666667	0.754716981132	0.779527559055	0.0	0.553846153846	0.777777777778	0.857142857143	0.734693877551	0.762589928058	0.731543624161	0.770491803279	0.814814814815	0.761290322581	0.840579710145	0.707142857143
MCT.f.0143	0.724637681159	0.756944444444	0.708860759494	0.833333333333	0.553846153846	0.0	0.786666666667	0.808219178082	0.69387755102	0.789115646259	0.586956521739	0.72131147541	0.830985915493	0.746835443038	0.822695035461	0.701388888889
MCT.f.0144	0.655737704918	0.705426356589	0.675862068966	0.62037037037	0.777777777778	0.786666666667	0.0	0.724409448819	0.686131386861	0.814285714286	0.737931034483	0.829268292683	0.90780141844	0.708333333333	0.727272727273	0.713235294118
MCT.f.0145	0.827067669173	0.786259541985	0.704225352113	0.81512605042	0.857142857143	0.808219178082	0.724409448819	0.0	0.706766917293	0.77519379845	0.731884057971	0.9375	0.885496183206	0.763888888889	0.84126984127	0.734848484848
MCT.f.0146	0.783216783217	0.744680851064	0.679738562092	0.7578125	0.734693877551	0.69387755102	0.686131386861	0.706766917293	0.0	0.705882352941	0.65034965035	0.758064516129	0.794117647059	0.684563758389	0.655737704918	0.669064748201
MCT.f.0147	0.814814814815	0.75572519084	0.738255033557	0.84	0.762589928058	0.789115646259	0.814285714286	0.77519379845	0.705882352941	0.0	0.798657718121	0.813559322034	0.706896551724	0.709219858156	0.818897637795	0.684615384615
MCT.f.0148	0.744680851064	0.767123287671	0.685897435897	0.817518248175	0.731543624161	0.586956521739	0.737931034483	0.731884057971	0.65034965035	0.798657718121	0.0	0.634782608696	0.815602836879	0.673333333333	0.653225806452	0.703448275862
MCT.f.0149	0.820512820513	0.889763779528	0.822695035461	0.817307692308	0.770491803279	0.72131147541	0.829268292683	0.9375	0.758064516129	0.813559322034	0.634782608696	0.0	0.769230769231	0.769230769231	0.652631578947	0.704347826087
MCT.f.0150	0.89552238806	0.772357723577	0.886075949367	0.918699186992	0.814814814815	0.830985915493	0.90780141844	0.885496183206	0.794117647059	0.706896551724	0.815602836879	0.769230769231	0.0	0.843537414966	0.722222222222	0.776923076923
MCT.f.0151	0.723404255319	0.834394904459	0.565517241379	0.700787401575	0.761290322581	0.746835443038	0.708333333333	0.763888888889	0.684563758389	0.709219858156	0.673333333333	0.769230769231	0.843537414966	0.0	0.768115942029	0.709459459459
MCT.f.0152	0.861538461538	0.741666666667	0.786206896552	0.823008849558	0.840579710145	0.822695035461	0.727272727273	0.84126984127	0.655737704918	0.818897637795	0.653225806452	0.652631578947	0.722222222222	0.768115942029	0.0	0.717741935484
MCT.f.0153	0.729323308271	0.706766917293	0.677852348993	0.777777777778	0.707142857143	0.701388888889	0.713235294118	0.734848484848	0.669064748201	0.684615384615	0.703448275862	0.704347826087	0.776923076923	0.709459459459	0.717741935484	0.0
