	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13
sample1	0.0	9.60631792363	8.976051389	10.1887972943	11.8109855749	10.0282502849	14.3963236468	10.8952626489	10.3459490689	12.7936293771	10.1748948962	10.504538895	10.1459053426
sample2	9.60631792363	0.0	9.40996827924	12.1998025914	13.1759719492	11.4014895005	14.1006741743	12.9344996469	11.8766235417	13.4854133308	11.00408453	11.7164114544	10.6550654034
sample3	8.976051389	9.40996827924	0.0	11.4310272761	10.7780098887	9.0928326152	11.683509535	12.6998126281	12.486759145	15.4245514873	11.3358196854	12.3087992211	11.1284982995
sample4	10.1887972943	12.1998025914	11.4310272761	0.0	7.63536122512	10.2493969219	14.6619376381	9.22445552931	10.2903137572	11.727608216	10.7208606063	9.53962110667	9.3117815037
sample5	11.8109855749	13.1759719492	10.7780098887	7.63536122512	0.0	10.348687743	13.6994819936	10.4959294983	12.0797911714	13.9878025241	11.2510976624	11.4710749895	10.0526638355
sample6	10.0282502849	11.4014895005	9.0928326152	10.2493969219	10.348687743	0.0	11.7880528047	10.0220415808	11.3768299092	14.1055136615	11.5966234922	11.7586678165	11.2669683511
sample7	14.3963236468	14.1006741743	11.683509535	14.6619376381	13.6994819936	11.7880528047	0.0	14.2002412581	15.8395335429	17.6701809932	12.6834330861	14.8926430796	14.3286418751
sample8	10.8952626489	12.9344996469	12.6998126281	9.22445552931	10.4959294983	10.0220415808	14.2002412581	0.0	6.94393826483	10.0484415256	9.73173328287	9.57034960442	9.7174148257
sample9	10.3459490689	11.8766235417	12.486759145	10.2903137572	12.0797911714	11.3768299092	15.8395335429	6.94393826483	0.0	9.21729269509	9.08261230356	9.81542266231	9.15679024916
sample10	12.7936293771	13.4854133308	15.4245514873	11.727608216	13.9878025241	14.1055136615	17.6701809932	10.0484415256	9.21729269509	0.0	9.78499098478	9.58164802151	10.3219071891
sample11	10.1748948962	11.00408453	11.3358196854	10.7208606063	11.2510976624	11.5966234922	12.6834330861	9.73173328287	9.08261230356	9.78499098478	0.0	8.46039375751	8.63604674919
sample12	10.504538895	11.7164114544	12.3087992211	9.53962110667	11.4710749895	11.7586678165	14.8926430796	9.57034960442	9.81542266231	9.58164802151	8.46039375751	0.0	9.11697747802
sample13	10.1459053426	10.6550654034	11.1284982995	9.3117815037	10.0526638355	11.2669683511	14.3286418751	9.7174148257	9.15679024916	10.3219071891	8.63604674919	9.11697747802	0.0
