	MCT.f.0206	MCT.f.0209	MCT.f.0211	MCT.f.0213	MCT.f.0214	MCT.f.0215	MCT.f.0216	MCT.f.0218	MCT.f.0219	MCT.f.0220	MCT.f.0221
MCT.f.0206	0.0	9.56392232857	12.7637071663	12.8848280414	16.1516556306	10.1737008527	11.9258864634	14.6645887307	15.3466079036	12.7000480034	13.7454181414
MCT.f.0209	9.56392232857	0.0	12.996635987	9.45061728563	17.1845230254	9.61843676657	13.6483579524	14.0642708347	15.4355193184	13.716482505	14.3156768813
MCT.f.0211	12.7637071663	12.996635987	0.0	15.4638316313	17.2208405772	14.810659322	17.4813691534	19.0481328098	19.3860706587	17.9702034346	16.3030887741
MCT.f.0213	12.8848280414	9.45061728563	15.4638316313	0.0	15.3469339036	9.16258692103	12.4041993834	11.188263918	13.0855934246	10.8918333021	12.2018245227
MCT.f.0214	16.1516556306	17.1845230254	17.2208405772	15.3469339036	0.0	14.2531986908	16.9305576097	17.4806971132	17.4475694615	15.4063540284	15.6196142455
MCT.f.0215	10.1737008527	9.61843676657	14.810659322	9.16258692103	14.2531986908	0.0	10.7613369788	12.8420432297	14.7763249164	10.6194748666	13.1532233883
MCT.f.0216	11.9258864634	13.6483579524	17.4813691534	12.4041993834	16.9305576097	10.7613369788	0.0	10.7902260429	12.8144507466	9.23045613432	13.1552075203
MCT.f.0218	14.6645887307	14.0642708347	19.0481328098	11.188263918	17.4806971132	12.8420432297	10.7902260429	0.0	7.49438018151	8.60663258121	10.8947191751
MCT.f.0219	15.3466079036	15.4355193184	19.3860706587	13.0855934246	17.4475694615	14.7763249164	12.8144507466	7.49438018151	0.0	9.45075518423	10.7288231785
MCT.f.0220	12.7000480034	13.716482505	17.9702034346	10.8918333021	15.4063540284	10.6194748666	9.23045613432	8.60663258121	9.45075518423	0.0	10.0302668195
MCT.f.0221	13.7454181414	14.3156768813	16.3030887741	12.2018245227	15.6196142455	13.1532233883	13.1552075203	10.8947191751	10.7288231785	10.0302668195	0.0
