	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample15	sample16
sample1	0.0	9.36001868559	8.68521197826	8.30106414251	10.7123424332	6.92596307979	10.9896296584	9.71989419038	10.6747813035	10.8327168024	8.67203493247	9.76594523881	11.2913828994	9.27042656511	9.69906161344
sample2	9.36001868559	0.0	6.73943458403	8.65954710651	9.54444828779	9.90010654864	9.99378212824	7.51978588949	8.2266458496	8.62648442576	8.71991736733	8.51631561716	11.0022607846	7.93005652965	6.50645682002
sample3	8.68521197826	6.73943458403	0.0	9.32318677481	10.1661167852	7.71735554114	10.404753054	7.99325748846	8.09735960825	8.05109581851	8.19668933321	9.75576797806	10.5154195858	7.45062442645	7.51171556153
sample4	8.30106414251	8.65954710651	9.32318677481	0.0	10.0310259047	6.63456015844	9.33078782619	9.14405703302	9.47982134391	10.2676860507	9.61715905779	9.50917881474	11.3870232138	9.4	9.52021128396
sample5	10.7123424332	9.54444828779	10.1661167852	10.0310259047	0.0	10.4544473293	7.37010945186	9.92163651142	8.49458623868	8.38623337615	10.3298129926	8.00880475457	9.87610734947	10.2977185145	9.9612590799
sample6	6.92596307979	9.90010654864	7.71735554114	6.63456015844	10.4544473293	0.0	9.98504061495	8.93531639881	9.4238900959	10.7762474524	8.28191372841	9.52155144643	10.4035928144	8.180530573	9.37476005718
sample7	10.9896296584	9.99378212824	10.404753054	9.33078782619	7.37010945186	9.98504061495	0.0	10.4779019956	9.10487187729	10.2691240256	10.0558390296	9.20320855615	11.3568022326	10.300660676	10.0999501496
sample8	9.71989419038	7.51978588949	7.99325748846	9.14405703302	9.92163651142	8.93531639881	10.4779019956	0.0	6.1086166678	7.41878028889	8.65469249771	9.21113971182	10.0159485647	8.3202828576	7.64628804528
sample9	10.6747813035	8.2266458496	8.09735960825	9.47982134391	8.49458623868	9.4238900959	9.10487187729	6.1086166678	0.0	5.71118950451	8.22356808405	8.25902223781	9.77021912459	7.71510300418	7.97503164459
sample10	10.8327168024	8.62648442576	8.05109581851	10.2676860507	8.38623337615	10.7762474524	10.2691240256	7.41878028889	5.71118950451	0.0	10.0466175354	6.52284573208	8.93426955066	9.77079585299	9.44782138051
sample11	8.67203493247	8.71991736733	8.19668933321	9.61715905779	10.3298129926	8.28191372841	10.0558390296	8.65469249771	8.22356808405	10.0466175354	0.0	8.86426214586	9.65801086415	4.94905603836	7.13172474839
sample12	9.76594523881	8.51631561716	9.75576797806	9.50917881474	8.00880475457	9.52155144643	9.20320855615	9.21113971182	8.25902223781	6.52284573208	8.86426214586	0.0	8.79093150597	9.84268534559	8.77299918427
sample13	11.2913828994	11.0022607846	10.5154195858	11.3870232138	9.87610734947	10.4035928144	11.3568022326	10.0159485647	9.77021912459	8.93426955066	9.65801086415	8.79093150597	0.0	10.4335835372	11.1299096722
sample15	9.27042656511	7.93005652965	7.45062442645	9.4	10.2977185145	8.180530573	10.300660676	8.3202828576	7.71510300418	9.77079585299	4.94905603836	9.84268534559	10.4335835372	0.0	6.09910877696
sample16	9.69906161344	6.50645682002	7.51171556153	9.52021128396	9.9612590799	9.37476005718	10.0999501496	7.64628804528	7.97503164459	9.44782138051	7.13172474839	8.77299918427	11.1299096722	6.09910877696	0.0
