	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample10	sample11	sample12	sample13	sample14	sample15	sample16
sample1	0.0	0.731958762887	0.79	0.727272727273	0.703703703704	0.772277227723	0.839285714286	0.892561983471	0.877551020408	0.69512195122	0.743902439024	0.80303030303	0.889763779528	0.841666666667	0.772727272727
sample2	0.731958762887	0.0	0.359550561798	0.707547169811	0.761904761905	0.715517241379	0.798449612403	0.822222222222	0.794642857143	0.718446601942	0.745098039216	0.905263157895	0.779411764706	0.748091603053	0.769230769231
sample3	0.79	0.359550561798	0.0	0.72641509434	0.72	0.80487804878	0.785714285714	0.744	0.853448275862	0.75	0.701030927835	0.903225806452	0.828571428571	0.763358778626	0.755905511811
sample4	0.727272727273	0.707547169811	0.72641509434	0.0	0.720430107527	0.722222222222	0.819672131148	0.806451612903	0.949152542373	0.698924731183	0.768421052632	0.879518072289	0.876811594203	0.84962406015	0.747899159664
sample5	0.703703703704	0.761904761905	0.72	0.720430107527	0.0	0.81981981982	0.765765765766	0.784482758621	0.818181818182	0.836734693878	0.75	0.753623188406	0.878787878788	0.850393700787	0.732142857143
sample6	0.772277227723	0.715517241379	0.80487804878	0.722222222222	0.81981981982	0.0	0.835820895522	0.904109589041	0.9375	0.768518518519	0.858407079646	0.894736842105	0.734848484848	0.804347826087	0.807407407407
sample7	0.839285714286	0.798449612403	0.785714285714	0.819672131148	0.765765765766	0.835820895522	0.0	0.788321167883	0.775862068966	0.758928571429	0.815789473684	0.84375	0.764285714286	0.609756097561	0.705426356589
sample8	0.892561983471	0.822222222222	0.744	0.806451612903	0.784482758621	0.904109589041	0.788321167883	0.0	0.868217054264	0.865079365079	0.841666666667	0.894230769231	0.850649350649	0.817567567568	0.804195804196
sample10	0.877551020408	0.794642857143	0.853448275862	0.949152542373	0.818181818182	0.9375	0.775862068966	0.868217054264	0.0	0.833333333333	0.861386138614	0.833333333333	0.776	0.8203125	0.814516129032
sample11	0.69512195122	0.718446601942	0.75	0.698924731183	0.836734693878	0.768518518519	0.758928571429	0.865079365079	0.833333333333	0.0	0.697674418605	0.794520547945	0.790322580645	0.735042735043	0.678899082569
sample12	0.743902439024	0.745098039216	0.701030927835	0.768421052632	0.75	0.858407079646	0.815789473684	0.841666666667	0.861386138614	0.697674418605	0.0	0.8	0.822580645161	0.779661016949	0.679245283019
sample13	0.80303030303	0.905263157895	0.903225806452	0.879518072289	0.753623188406	0.894736842105	0.84375	0.894230769231	0.833333333333	0.794520547945	0.8	0.0	0.803921568627	0.857142857143	0.80412371134
sample14	0.889763779528	0.779411764706	0.828571428571	0.876811594203	0.878787878788	0.734848484848	0.764285714286	0.850649350649	0.776	0.790322580645	0.822580645161	0.803921568627	0.0	0.578125	0.82119205298
sample15	0.841666666667	0.748091603053	0.763358778626	0.84962406015	0.850393700787	0.804347826087	0.609756097561	0.817567567568	0.8203125	0.735042735043	0.779661016949	0.857142857143	0.578125	0.0	0.705882352941
sample16	0.772727272727	0.769230769231	0.755905511811	0.747899159664	0.732142857143	0.807407407407	0.705426356589	0.804195804196	0.814516129032	0.678899082569	0.679245283019	0.80412371134	0.82119205298	0.705882352941	0.0
