	MCT.f.0345	MCT.f.0346	MCT.f.0347	MCT.f.0348	MCT.f.0349	MCT.f.0350	MCT.f.0351	MCT.f.0352	MCT.f.0353	MCT.f.0354	MCT.f.0355	MCT.f.0356	MCT.f.0357
MCT.f.0345	0.0	10.2030106068	12.7002667923	12.9297535479	10.4190520193	13.4253443245	9.94776811557	10.0606133487	9.98828056372	9.43343420735	11.0423405866	12.2736760006	10.3533506112
MCT.f.0346	10.2030106068	0.0	13.6016202494	14.3443432629	12.9152659543	16.212875169	12.2724751693	11.9232894188	12.17867225	12.1302562409	11.0030175728	14.6254132059	11.2480445478
MCT.f.0347	12.7002667923	13.6016202494	0.0	13.9787639538	12.4275064161	12.2846459645	13.4797724239	12.8327756747	13.0235488259	12.507389786	13.7307730594	11.843801897	11.9061183519
MCT.f.0348	12.9297535479	14.3443432629	13.9787639538	0.0	11.4698400733	10.7682272338	13.2271688325	12.4323002396	14.6967974614	13.3903420632	11.7084859076	14.7567788675	14.1291475193
MCT.f.0349	10.4190520193	12.9152659543	12.4275064161	11.4698400733	0.0	12.5472797484	9.51392266119	10.0814717606	11.6974147057	10.9128571571	10.249565058	10.9103756145	8.70041109324
MCT.f.0350	13.4253443245	16.212875169	12.2846459645	10.7682272338	12.5472797484	0.0	12.9366611425	11.3657221402	14.9333336661	12.1529623746	12.4538945686	14.5948519916	15.3456860481
MCT.f.0351	9.94776811557	12.2724751693	13.4797724239	13.2271688325	9.51392266119	12.9366611425	0.0	7.56149479926	9.9687293276	9.97797329201	9.16539712056	11.6850028719	10.0459023023
MCT.f.0352	10.0606133487	11.9232894188	12.8327756747	12.4323002396	10.0814717606	11.3657221402	7.56149479926	0.0	8.88772731959	7.60468222424	9.8822503988	11.9381769846	10.463238697
MCT.f.0353	9.98828056372	12.17867225	13.0235488259	14.6967974614	11.6974147057	14.9333336661	9.9687293276	8.88772731959	0.0	9.22890283137	12.3506642266	10.6007909603	9.59703595934
MCT.f.0354	9.43343420735	12.1302562409	12.507389786	13.3903420632	10.9128571571	12.1529623746	9.97797329201	7.60468222424	9.22890283137	0.0	10.430584236	12.0413827531	10.665933202
MCT.f.0355	11.0423405866	11.0030175728	13.7307730594	11.7084859076	10.249565058	12.4538945686	9.16539712056	9.8822503988	12.3506642266	10.430584236	0.0	11.7570801489	11.6470938396
MCT.f.0356	12.2736760006	14.6254132059	11.843801897	14.7567788675	10.9103756145	14.5948519916	11.6850028719	11.9381769846	10.6007909603	12.0413827531	11.7570801489	0.0	9.17160024585
MCT.f.0357	10.3533506112	11.2480445478	11.9061183519	14.1291475193	8.70041109324	15.3456860481	10.0459023023	10.463238697	9.59703595934	10.665933202	11.6470938396	9.17160024585	0.0
