	MCT.f.0038	MCT.f.0039	MCT.f.0042	MCT.f.0043	MCT.f.0044	MCT.f.0045	MCT.f.0048	MCT.f.0049	MCT.f.0050
MCT.f.0038	0.0	13.1189331209	10.1058996903	9.70261926917	11.7429124898	11.6669764922	9.53242760928	10.0459446837	11.0354512721
MCT.f.0039	13.1189331209	0.0	14.1426098537	12.8508162019	12.9912023213	10.5122310725	14.6498170896	11.2384090631	11.2059234748
MCT.f.0042	10.1058996903	14.1426098537	0.0	8.56796717773	11.0192795071	11.5446860005	9.54268300231	10.8515825866	10.9554694498
MCT.f.0043	9.70261926917	12.8508162019	8.56796717773	0.0	11.3581777367	9.10196123654	9.1379092153	10.3498303591	10.1847716004
MCT.f.0044	11.7429124898	12.9912023213	11.0192795071	11.3581777367	0.0	12.3520483295	12.2481188421	9.79457768238	12.9979529115
MCT.f.0045	11.6669764922	10.5122310725	11.5446860005	9.10196123654	12.3520483295	0.0	11.6178668002	9.13947042436	8.35218144097
MCT.f.0048	9.53242760928	14.6498170896	9.54268300231	9.1379092153	12.2481188421	11.6178668002	0.0	11.1724646517	11.1805386022
MCT.f.0049	10.0459446837	11.2384090631	10.8515825866	10.3498303591	9.79457768238	9.13947042436	11.1724646517	0.0	8.8943513975
MCT.f.0050	11.0354512721	11.2059234748	10.9554694498	10.1847716004	12.9979529115	8.35218144097	11.1805386022	8.8943513975	0.0
