	MCT.f.0290	MCT.f.0291	MCT.f.0292	MCT.f.0293	MCT.f.0294	MCT.f.0295	MCT.f.0296	MCT.f.0297	MCT.f.0298	MCT.f.0299	MCT.f.0300	MCT.f.0301	MCT.f.0302	MCT.f.0303	MCT.f.0304	MCT.f.0305	MCT.f.0306
MCT.f.0290	0.0	0.620253164557	0.666666666667	0.65	0.767676767677	0.862068965517	0.7734375	0.576470588235	0.777777777778	0.752475247525	0.808333333333	0.852173913043	0.759259259259	0.89898989899	0.820224719101	0.912087912088	0.621951219512
MCT.f.0291	0.620253164557	0.0	0.768421052632	0.652173913043	0.896907216495	0.896226415094	0.845528455285	0.605263157895	0.83	0.831578947368	0.886956521739	0.83	0.833333333333	0.867469879518	0.783783783784	0.816901408451	0.537313432836
MCT.f.0292	0.666666666667	0.768421052632	0.0	0.696629213483	0.898305084746	0.888888888889	0.7109375	0.771428571429	0.90625	0.873949579832	0.921428571429	0.813559322034	0.88188976378	0.841584158416	0.797872340426	0.950980392157	0.777777777778
MCT.f.0293	0.65	0.652173913043	0.696629213483	0.0	0.847826086957	0.828282828283	0.752212389381	0.653846153846	0.816326530612	0.829787234043	0.895652173913	0.752688172043	0.831683168317	0.865853658537	0.844155844156	0.779411764706	0.573529411765
MCT.f.0294	0.767676767677	0.896907216495	0.898305084746	0.847826086957	0.0	0.898305084746	0.860294117647	0.877358490566	0.818181818182	0.734693877551	0.862903225806	0.916666666667	0.821428571429	0.86170212766	0.842696629213	0.74025974026	0.84375
MCT.f.0295	0.862068965517	0.896226415094	0.888888888889	0.828282828283	0.898305084746	0.0	0.838028169014	0.683673469388	0.715596330275	0.646464646465	0.801587301587	0.771929824561	0.826446280992	0.906542056075	0.87	0.797752808989	0.813725490196
MCT.f.0296	0.7734375	0.845528455285	0.7109375	0.752212389381	0.860294117647	0.838028169014	0.0	0.768	0.821428571429	0.795454545455	0.871794871795	0.846153846154	0.685039370079	0.890625	0.820512820513	0.890756302521	0.813008130081
MCT.f.0297	0.576470588235	0.605263157895	0.771428571429	0.653846153846	0.877358490566	0.683673469388	0.768	0.0	0.747572815534	0.633333333333	0.803418803419	0.783018867925	0.71568627451	0.872340425532	0.785714285714	0.784810126582	0.428571428571
MCT.f.0298	0.777777777778	0.83	0.90625	0.816326530612	0.818181818182	0.715596330275	0.821428571429	0.747572815534	0.0	0.759259259259	0.782258064516	0.813559322034	0.806722689076	0.875	0.822916666667	0.755813953488	0.79
MCT.f.0299	0.752475247525	0.831578947368	0.873949579832	0.829787234043	0.734693877551	0.646464646465	0.795454545455	0.633333333333	0.759259259259	0.0	0.716814159292	0.747663551402	0.774774774775	0.878787878788	0.811111111111	0.688311688312	0.722222222222
MCT.f.0300	0.808333333333	0.886956521739	0.921428571429	0.895652173913	0.862903225806	0.801587301587	0.871794871795	0.803418803419	0.782258064516	0.716814159292	0.0	0.731092436975	0.776	0.757281553398	0.862385321101	0.831683168317	0.842105263158
MCT.f.0301	0.852173913043	0.83	0.813559322034	0.752688172043	0.916666666667	0.771929824561	0.846153846154	0.783018867925	0.813559322034	0.747663551402	0.731092436975	0.0	0.775862068966	0.685393258427	0.881188118812	0.784090909091	0.825242718447
MCT.f.0302	0.759259259259	0.833333333333	0.88188976378	0.831683168317	0.821428571429	0.826446280992	0.685039370079	0.71568627451	0.806722689076	0.774774774775	0.776	0.775862068966	0.0	0.747368421053	0.802083333333	0.815217391304	0.744897959184
MCT.f.0303	0.89898989899	0.867469879518	0.841584158416	0.865853658537	0.86170212766	0.906542056075	0.890625	0.872340425532	0.875	0.878787878788	0.757281553398	0.685393258427	0.747368421053	0.0	0.767123287671	0.816901408451	0.833333333333
MCT.f.0304	0.820224719101	0.783783783784	0.797872340426	0.844155844156	0.842696629213	0.87	0.820512820513	0.785714285714	0.822916666667	0.811111111111	0.862385321101	0.881188118812	0.802083333333	0.767123287671	0.0	0.805970149254	0.72972972973
MCT.f.0305	0.912087912088	0.816901408451	0.950980392157	0.779411764706	0.74025974026	0.797752808989	0.890756302521	0.784810126582	0.755813953488	0.688311688312	0.831683168317	0.784090909091	0.815217391304	0.816901408451	0.805970149254	0.0	0.625
MCT.f.0306	0.621951219512	0.537313432836	0.777777777778	0.573529411765	0.84375	0.813725490196	0.813008130081	0.428571428571	0.79	0.722222222222	0.842105263158	0.825242718447	0.744897959184	0.833333333333	0.72972972973	0.625	0.0
